"i","j","outcome","pdist","i_clade","j_clade","WB","RI","RNI","ASYM"
"14B","13A","13A",14.5,"Psyr","Pflu","B",0,0,1
"14B","03A","03A",14.5,"Psyr","Pflu","B",0,0,1
"14B","06A","06A",14.5,"Psyr","Pflu","B",0,0,1
"14B","46A","46A",14.7,"Psyr","Pflu","B",0,0,1
"46B","02A","02A",6.1,"Psyr","Psyr","W",0,0,1
"46B","08A","08A",6.1,"Psyr","Psyr","W",0,0,1
"46B","06C","06C",6.1,"Psyr","Psyr","W",0,0,1
"46B","4326","4326",6.1,"Psyr","Psyr","W",0,0,1
"46B","19A","19A",6,"Psyr","Psyr","W",0,0,1
"46B","07A","07A",10.1,"Psyr","Psyr","W",0,0,1
"46B","22D","22D",9.9,"Psyr","Psyr","W",0,0,1
"46B","22B","22B",9.9,"Psyr","Psyr","W",0,0,1
"46B","26B","26B",9.9,"Psyr","Psyr","W",0,0,1
"46B","22C","22C",14.5,"Psyr","Psyr","W",0,0,1
"46B","39F","39F",13.7,"Psyr","Psyr","W",0,0,1
"46B","08C","08C",13.5,"Psyr","Psyr","W",0,0,1
"46B","23A","23A",13.4,"Psyr","Psyr","W",0,0,1
"46B","24C","24C",13.3,"Psyr","Psyr","W",0,0,1
"46B","21A","21A",13.9,"Psyr","Psyr","W",0,0,1
"46B","20B","20B",13.9,"Psyr","Psyr","W",0,0,1
"46B","08B","08B",15.6,"Psyr","Psyr","W",0,0,1
"46B","36A","36A",15.4,"Psyr","Pflu","B",0,0,1
"46B","06B","06B",15.4,"Psyr","Pflu","B",0,0,1
"46B","07B","07B",15.4,"Psyr","Pflu","B",0,0,1
"46B","43A","43A",15.7,"Psyr","Pflu","B",0,0,1
"46B","29A","29A",15.8,"Psyr","Pflu","B",0,0,1
"46B","39A","39A",15.2,"Psyr","Pflu","B",0,0,1
"46B","34A","34A",14.9,"Psyr","Pflu","B",0,0,1
"46B","27A","27A",15,"Psyr","Pflu","B",0,0,1
"46B","36B","36B",15,"Psyr","Pflu","B",0,0,1
"46B","33E","33E",15,"Psyr","Pflu","B",0,0,1
"46B","13A","13A",15,"Psyr","Pflu","B",0,0,1
"46B","03A","RNI",15.1,"Psyr","Pflu","B",0,1,0
"46B","06A","06A",15.1,"Psyr","Pflu","B",0,0,1
"46B","46A","46A",15,"Psyr","Pflu","B",0,0,1
"02A","08A","02A",0,"Psyr","Psyr","W",0,0,1
"02A","06C","02A",0,"Psyr","Psyr","W",0,0,1
"02A","4326","02A",0,"Psyr","Psyr","W",0,0,1
"02A","19A","02A",0.5,"Psyr","Psyr","W",0,0,1
"02A","07A","RNI",10.3,"Psyr","Psyr","W",0,1,0
"02A","22D","RNI",10.3,"Psyr","Psyr","W",0,1,0
"02A","22B","22B",10.3,"Psyr","Psyr","W",0,0,1
"02A","26B","RI",10.3,"Psyr","Psyr","W",1,0,0
"02A","22C","02A",13.6,"Psyr","Psyr","W",0,0,1
"02A","39F","02A",14.1,"Psyr","Psyr","W",0,0,1
"02A","08C","02A",13.8,"Psyr","Psyr","W",0,0,1
"02A","23A","02A",13.6,"Psyr","Psyr","W",0,0,1
"02A","24C","02A",12.6,"Psyr","Psyr","W",0,0,1
"02A","21A","02A",13.3,"Psyr","Psyr","W",0,0,1
"02A","20B","02A",13.3,"Psyr","Psyr","W",0,0,1
"02A","08B","08B",15.4,"Psyr","Psyr","W",0,0,1
"02A","36A","36A",15,"Psyr","Pflu","B",0,0,1
"02A","06B","06B",15,"Psyr","Pflu","B",0,0,1
"02A","07B","07B",15,"Psyr","Pflu","B",0,0,1
"02A","43A","43A",15,"Psyr","Pflu","B",0,0,1
"02A","29A","29A",15.1,"Psyr","Pflu","B",0,0,1
"02A","39A","39A",14.3,"Psyr","Pflu","B",0,0,1
"02A","34A","34A",14.9,"Psyr","Pflu","B",0,0,1
"02A","27A","27A",14.4,"Psyr","Pflu","B",0,0,1
"02A","36B","36B",14.4,"Psyr","Pflu","B",0,0,1
"02A","33E","33E",14.4,"Psyr","Pflu","B",0,0,1
"02A","13A","13A",14.4,"Psyr","Pflu","B",0,0,1
